question,reference,base_prediction,finetuned_prediction,base_rouge1,base_rouge2,base_rougeL,base_f1,ft_rouge1,ft_rouge2,ft_rougeL,ft_f1
Anayasanın 90. Maddesi Nasıl Uygulanır?,Milletlerarası antlaşmaların TBMM tarafından onaylanmasıyla uygulanır.,"Anayasanın 90. Maddesi, genellikle ""Kendiliğinden Hükümetin Yeteri Kuvvetiyle"" veya benzer bir ifadeye sahiptir. Bu maddede belirlenen kurallar genellikle:

1. Hükümetin yeteri kuvvetiyle:
   - Anayasa kuralları uygulamak
   - Hukukun temel kurallarını korumak
   - İnsan haklarını korumak

2. Kendiliğinden:
   - Kurallara uygun olarak hareket etmek
   - Kuralların anlayışlı ve düzenli olarak uygulanması gereklidir

3. Hükümetin yeteri kuvvetiyle ve kendiliğinden:
   - Kurallara uygun olarak hareket etmek
   - Kuralların anlayışlı ve düzenli olarak uygulanması gereklidir

Bu maddeden elde edilen sonuçlar genellikle şu şekilde olabilir:

- Hükümetin yeteri kuvvetiyle anayasa kurall","TBMM'nin, üye tam sayısının salt çoğunluğu ile seçimler yapmasıyla uygulanır.",0.018018018018018018,0.0,0.018018018018018018,0.0,0.3333333333333333,0.14285714285714285,0.26666666666666666,0.125
Hukukta 'legitimate expectation' nedir?,"Legitimate expectation, bir kişinin belirli bir eylem veya karar beklentisinin hukuken korunabilir olduğuna dair bir ilkeyi ifade eder. bu beklenti genellikle devlet veya kamu organlarının tutarlı davranışlarına dayanır.","Legitimate expectation, hukukte bir durumda kişinin belirli bir durumu veya durumunuzdan daha iyi bir duruma geçmesini beklediği bir durumda kullanılan bir terimdir. Bu durum, kişinin durumunuzdan daha iyi bir duruma geçmesi için gereken bir durum olduğunu gösterir.

Bu durum, genellikle bir işten ayrılmaya çalışırken, işten ayrılmak isteyen kişinin durumunuzdan daha iyi bir duruma geçmesine yönelik bir talep olarak kabul edilir. 

Örneğin, bir işten ayrılmaya çalışırken, çalışanın durumunu iyileştirmek isteyen bir müşteri, bu durumda kullanabilir. Ancak, bu durum, işten ayrılmak isteyen kişiye özel bir hak ve yetkili değildir ve işten ayrılmak için başka bir yol olabilir.

Legitimate expectation, hukukte bir durumda kişinin belirli bir durumu veya durumunuzdan daha iyi bir duruma geçmesini beklediği bir durumda kullanılan bir terimdir.","Legitimate expectation, bir kişinin belirli bir durumda haklı bir şekilde beklediği ve bu beklenen durumu gerçekleştiren durumdur. bu durumlar, genellikle sözleşmeler veya hukuki yükümlülüklerle gerçekleşir.",0.14814814814814814,0.04278074866310161,0.12698412698412698,0.11034482758620691,0.3055555555555555,0.17142857142857143,0.3055555555555555,0.30188679245283023
"Anayasa madde 172'ye göre, devletin sanayi ve ticareti destekleme konusundaki görevleri nelerdir?","Anayasa madde 172'ye göre, devlet, sanayi ve ticaretin geliştirilmesi ve rekabet gücünün artırılması için gerekli tedbirleri alır. i̇şletmelerin verimliliğini ve yenilikçiliğini artırmak için teşvik ve destekler sağlanır.","Anayasa Madde 172'nin devletin sanayi ve ticareti destekleme konusundaki görevleri şu şekilde tanımlanmıştır:

1. Devletin sanayi ve ticaret alanında işlerini yerine getirmesi gereken görevi üstlenir.

2. Sanayi ve ticaret alanındaki işlerin devletin yönetimi altında olmasına izin verir.

3. Sanayi ve ticaret alanındaki işlerin devletin düzenlemesine izin verir.

4. Sanayi ve ticaret alanındaki işlerin devletin kontrolü altında olmasına izin verir.

5. Sanayi ve ticaret alanındaki işlerin devletin tutumunu korumak için gereken önlemleri uygulamak zorunlu değildir.

6. Sanayi ve ticaret alanındaki işlerin devletin düzenlemesine izin verir.

Bu görevler, devletin sanayi ve ticaret alanında işlerinin yönetimi, düzenlemesine ve tutumunu korumaması durumunda devlete karşı anlaşmazlıklarını önlemeye yardımcı olur","Devlet, sanayi ve ticareti desteklemek ve bu alanlarda gelişmenin hızlandırılması için gerekli tedbirleri alır.",0.17204301075268816,0.043478260869565216,0.13978494623655913,0.06106870229007634,0.3939393939393939,0.28125,0.36363636363636365,0.29268292682926833
"Anayasa madde 158, uyuşmazlık mahkemesi'nin kuruluşu ve görevlerine müdahale hangi durumlarda yasaktır","Anayasa madde 158'e göre, uyuşmazlık mahkemesi'nin kuruluşu ve görevlerine müdahale, uyuşmazlık mahkemesi'nin adli, idari ve askeri yargı mercileri arasındaki görev ve hüküm uyuşmazlıklarını kesin olarak çözmemesi veya anayasa mahkemesi başkanı'nın başkanlığında çalışmaması durumunda yasaktır. devlet, bu tür müdahaleleri önlemek ve uyuşmazlık mahkemesi'nin kuruluşu ve görevlerini korumakla yükümlüdür.","Anayasa Madde 158, uyuşmazlık mahkemesinin kuruluşu ve görevleri hakkında belirli kurallar sunar. Bu madde, uyuşmazlık mahkemelerinin oluşturulması ve görevlere ilişkin bazı önemli noktaları belirtmektedir:

1. Uyuşmazlık Mahkemeleri: Anayasa Madde 158'de, uyuşmazlık mahkemelerinin kuruluşu ve görevleri belirlenmiştir.

2. Kurulun Adı: ""Yuşma ve Uyuşmazlık Mahkemeleri"" olarak adlandırılır.

3. Görevler:
   - Uyuşmazlıkların tanımını ve sınıflandırmasını yapar.
   - Uyuşmazlıkların nedeni ve etik giderilmesini sağlar.
   - Uyuşmazlıkların sonucunu ve sonuçlarını belirler.
   - Uyuşmazlıkların işlenmesini ve sonuçlarının değerlendirilmesini sağlar.
   - Uyuşmazlıkların sonucunu ve sonuçlarını tespit","Anayasa madde 158'ye göre, uyuşmazlık mahkemesi'nin kuruluşu ve görevlerine müdahale, mahkemenin bağımsızlığı ve hesap verebilirliği ile ilgili kuralları koyamaması veya uyuşmazlıkların hukuka uygun olarak çözülebileceğini belirten kanun hükmünde olmaması durumlarında yasaktır. devlet, bu tür müdahaleleri önlemek ve uyuşmazlık mahkemesi'nin bağımsızlığını korumakla yükümlüdür.",0.37383177570093457,0.1792452830188679,0.2616822429906542,0.07936507936507937,0.6369426751592356,0.4774193548387097,0.5732484076433121,0.4269662921348315
"Bir grup avukat, Türkiye Büyük Millet Meclisi Başkanı'nın Cumhurbaşkanlığı seçimlerine katılamayacağını belirten Anayasa maddesinin iptali için başvuruda bulunmuştur. Bu başvuru Anayasanın 94. Maddesi ile nasıl çelişir?","Anayasanın 94. Maddesi, Türkiye Büyük Millet Meclisi Başkanı'nın Cumhurbaşkanlığı seçimlerine katılamayacağını belirtir. Bu maddeye aykırı bir başvuru Anayasa'ya aykırıdır.","Bu başvuruda, Avukatlar Anayasa Muhimmetleri'nin (AAK) 94. Maddesiyle çelişmekteyiz. AAK 94. Maddesi, ""Avukatların hakları"" olarak adlandırılır ve bu madde, Avukatların haklarını korumak ve ihlal eden durumlarda onların haklarını koruma konusunda belirlenen kurallara dayanır.

Bu madde, Avukatların haklarına ilişkin belgeleri, yasaları ve düzenlemeleri hakkında bilgi vermektedir. Ancak, bu madde, Avukatların haklarının genel bir açıklamasıdır ve belirli bir durumu veya durumda Avukatların haklarını belirleyemez.

Avukatların hakları, Avukatlar Anayasa Muhimmetleri tarafından belirlenen kurallarla ve yasalarla sınırlanır. Bu, Avukatların haklarını korumak ve ihlal eden durumlarda onların haklarını koruma konusunda belirlenen kurallarla sınırlanır.

","Anayasanın 94. Maddesi, Türkiye Büyük Millet Meclisi Başkanı'nın Cumhurbaşkanlığı seçimlerine katılabileceğini belirtir. Bu maddeye aykırı bir başvuru Anayasa'ya aykırıdır.",0.17391304347826086,0.037735849056603765,0.13664596273291926,0.07476635514018691,0.9444444444444444,0.9142857142857143,0.9444444444444444,0.9473684210526315
Grev ve lokavt hakkının önemi nedir,"Grev ve lokavt hakkı, çalışanların ve işverenlerin toplu iş uyuşmazlıklarında haklarını savunmalarını ve taleplerini dile getirmelerini sağlar. bu haklar, işçi-işveren ilişkilerinin dengeli ve adil bir şekilde yürütülmesini destekler.","Grev ve lokavt hakları, Türkiye Cumhuriyeti'nin önemli hukuki kurallarından biridir. Bu haklar genellikle:

1. Grev hakı: Bu, kişinin evindeki gerekli maddelerin ve malın tutulduğu yerin korunması için gereken yasal düzenlemelere sahip olmak üzere, ev halkının haklarını kapsayan bir hak.

2. Lokavt hakı: Bu, ev halkının evindeki malın ve maddelerin korunması için gereken yasal düzenlemelere sahip olmak üzere, ev halkının haklarını kapsayan bir hak.

Bu haklar genellikle:

- Ev halkının evindeki malın ve maddelerinin korunmasını sağlar.
- Ev halkının evindeki malın ve maddelerinin güvenliğini sağlamakta kullanılır.
- Ev halkının evindeki malın ve maddelerinin korunmasını sağlar.
- Ev halkının evindeki malın ve maddelerinin güvenliğini sağlamakta kullanılır.

Bu haklar genellikle ev halkının haklarına dayanır ve bu hakların ih","Grev ve lokavt hakları, çalışanların işine bağlılıklarını korumak, ekonomik kalkınmayı sağlamak ve çalışma şartlarını iyileştirmek için kullanılır. bu haklar, devletin ve işverenlerin adaletli ve eşit bir şekilde çalışmasını sağlar.",0.1853658536585366,0.06896551724137931,0.1463414634146341,0.09790209790209792,0.5161290322580645,0.1978021978021978,0.3440860215053763,0.3508771929824561
"Cumhurbaşkanlığı seçimleri, Cumhurbaşkanının görev süresi dolmasına yetmiş gün kala tamamlanmıştır. Bu durum Anayasanın 102. Maddesi ile nasıl çelişir?","Anayasanın 102. Maddesi, seçimlerin görev süresinin dolmasından önceki altmış gün içinde tamamlanmasını öngörür. Yetmiş gün kala tamamlanması bu maddeye aykırıdır.","Anayasa'nın 102. Maddesinin temel amacı, cumhurbaşkanının görev süresindeki devletin yönetimi için özel bir sistem oluşturmak ve bu sistemdeki değişikliklerin anlayışlı ve düzenli olarak kabul edilmesini sağlamaktır.

Bu maddede belirlenen önemli noktalar şunlardır:

1. Cumhurbaşkanının görev süresi: 5 yıl.
2. Cumhurbaşkanının görev süresi dolması: 7 gün.
3. Cumhurbaşkanının görev süresi dolmasından sonra yapılan seçimler: 4 yıl.

Bu maddeden görüldüğü gibi, cumhurbaşkanının görev süresi dolması, seçimlerin tamamlanmasıyla ilgili bir durum değildir. Seçimler, cumhurbaşkanının görev süresi dolmasından sonra gerçekleşir ve bu durum genellikle cumhurbaşkanının görev süresi dolmasından önce gerçekleşir.

Bu nedenle, cumhurbaşkanının görev süresi dolmasından sonra tamaml","Anayasanın 102. Maddesi, Cumhurbaşkanı seçimlerin genel seçimlerden daha önce yapılmasını öngörür. Seçimlerin tamamlanması bu maddeye aykırıdır.",0.21105527638190952,0.06091370558375634,0.1407035175879397,0.08771929824561403,0.5483870967741935,0.43333333333333324,0.5483870967741935,0.5
Türk ceza kanunu'na göre kasten öldürme suçu nedir?,Bir kişiyi öldürme kastıyla işlenen suçtur.,"Türk Ceza Kanununa göre, kasten öldürme suçları, belirlenen şartlar altında kişinin hayatını silerek diğer insanlara zarar vermekten sorumlu olmak üzere tanımlanmıştır.

Kasten öldürme suçları, belirlenen şartlar altında kişinin hayatını silerek diğer insanlara zarar vermekten sorumlu olmak üzere tanımlanmıştır:

1. Kasten: Bu, kişinin hayatını silerek diğer insanlara zarar vermekten sorumlu olmak üzere tanımlanır.

2. Suç: Kasten öldürme suçları, belirlenen şartlar altında kişinin hayatını silerek diğer insanlara zarar vermekten sorumlu olmak üzere tanımlanır.

3. Belirlenen şartlar: Kasten öldürme suçları, belirlenen şartlar altında kişinin hayatını silerek diğer insanlara zarar vermekten sorumlu olmak üzere tanımlanır.

4. Süre: Kasten öldürme suçları, belirlenen şartlar altında kişinin hayatını silerek diğer insanlara zarar vermekten sorumlu olmak üzere tanımlanır.

5. Yürütme:","Kasten öldürme suçu, bir kişinin başka birin hayatını veya yaşam manevisini tehlikeye atmasıdır. bu suç, genellikle savcılığa başvurulur ve tazminat davası açılır.",0.04571428571428571,0.011560693641618497,0.04571428571428571,0.01694915254237288,0.21739130434782608,0.0909090909090909,0.13043478260869562,0.07142857142857144
"Bir milletvekili, bir kamu idaresinin faaliyetlerini denetlemek için verdiği soru önergesine cevap alamamıştır. Bu durum Anayasanın 98. Maddesi'ne aykırı mıdır?","Evet, Anayasanın 98. Maddesi, verilen soru önergelerinin cevaplandırılmasını öngörür. Cevap alınamaması bu maddeye aykırıdır.","Bu durum genellikle Anayasanın 98. Maddesinin aykırıdır. Anayasanın 98. Maddesi, ""Kamu Idari İstihbarat Hakkında"" olarak adlandırılır ve bu maddi, kamu idarelerinin belgelerini ve faaliyetleri hakkında bilgiye erişim sağlayacak şekilde tasarlanmıştır.

İşte bazı önemli noktalar:

1. Müşteri hakları: Müşterilerin kamu idarelerinin belgelerini ve faaliyetleri hakkında bilgiye erişim sağlayacak şekilde tasarlanmış.
2. Bilgi güvenliği: Belgelerin güvenliğini sağlamak amacıyla belirlenen gereksinimler vardır.
3. Yeterlilik: Belgelerin belirli türde kullanılması gereken yetersizlikleri ortaya koyulmalıdır.

Bu nedenle, bir milletvekili, kamu idarelerinin belgelerini ve faaliyetleri hakkında bilgiye erişim sağlamayı amaçlayan bir önergesine cevap alamaması, bu maddi aykırıdır.","Evet, Anayasanın 98. Maddesi, kamu idareleri ile ilgili soru önerge ve cevabını vermemeyi yasaklar. Soru öngörülmez ve cevap verilmemesi bu maddeye aykırıdır.",0.19607843137254904,0.07947019867549668,0.16993464052287582,0.09615384615384616,0.6037735849056604,0.39215686274509803,0.6037735849056604,0.4444444444444444
"Sanık, bir finans kurumunda yatırım tavsiyeleri vererek müşterileri yanıltıp zarar uğratırsa, hangi suçlamalar gündeme gelir?","Sanık, finans kurumunda yatırım tavsiyeleri vererek müşterileri yanıltıp zarar uğratırsa, 'mali dolandırıcılık', 'yanıltıcı tavsiyelerde bulunma' ve 'ticari etik kurallarının ihlali' suçlarıyla karşılaşabilir. Bu suçlar, hapis cezası ve/veya para cezası ile sonuçlanabilir ve mağdurların zararının tazmini gerekebilir.","Sanık, bir finans kurumunda yatırım tavsiyeleri vererek müşterileri yanıltıp zarar uğratırsa, genellikle ""Yatırım Yollama"" veya ""Yatırım Çevresi"" suçları altında olur.

Bu suçlar, aşağıdaki özellikleri taşır:

1. Yatırım: Müşterinin belgeli yatırımları, bankanın belgeye göre yatırımların dışında tutulduğu türden yatırımlar.
2. Yollama: Müşterinin belgeli yatırımları, bankanın belgeye göre yatırımların dışında tutulduğu türden yatırımların, banka tarafından yollanan yatırımdır.
3. Çevre: Müşterinin belgeli yatırımları, bankanın belgeye göre yatırımların dışında tutulduğu türden yatırımların, banka tarafından yollanan yatırımdır.

Bu durumda, müşteriye yanlış yatırımlar veren sanık, bu yatırımlara sahip olduğu","Sanık, finans kurumunda yatırım tavsiyelerini vererek müşterileri yanıltıp zarar uğratırsa, 'tazminat davası', 'mali dolandırıcılık' ve 'haksız kazanç talep etme' suçlarıyla karşılaşabilir. Bu suçlar, hapis cezası ve/veya para cezası ile sonuçlanabilir ve mağdurların zararı tazmin edilir.",0.2792792792792793,0.17272727272727273,0.24324324324324323,0.20168067226890757,0.7833333333333334,0.7118644067796611,0.7833333333333334,0.619718309859155
