id,model,question,reference,prediction,rouge1,rouge2,rougeL,exact_match,token_f1,prediction_word_count,reference_word_count,suspicious_flag
0,Llama-3.2-1B-Instruct,"Anayasa madde 1'e göre, türkiye'nin devlet şekli nedir","Anayasa madde 1'e göre, türkiye'nin devlet şekli cumhuriyettir. bu madde, türkiye'nin yönetim biçiminin halkın egemenliğine dayandığını ve bu yönetim biçiminin cumhuriyet olduğunu belirler. cumhuriyet, halkın kendi kendini yönetme biçimi olarak kabul edilir ve türkiye cumhuriyeti'nin temel yönetim ilkesi olarak anayasal güvence altına alınmıştır.","Anayasa, Türk hukuku ve demokrasi principles'u düzenler.",0.07692307692307693,0.0,0.07692307692307693,0,0.07272727272727272,7,43,0
1,Llama-3.2-1B-Instruct,Anayasa madde 1'de belirtilen cumhuriyetin tanımı nedir,"Anayasa madde 1'de belirtilen cumhuriyet, halkın egemenliğinin temsilcileri aracılığıyla yönetildiği bir devlet şeklidir. cumhuriyet rejiminde, devlet başkanı ve diğer yöneticiler halk tarafından seçilir ve belirli bir süre için görev yaparlar. bu yönetim biçimi, monarşi gibi kalıtsal yönetim biçimlerine karşıdır ve halkın yönetime doğrudan katılımını sağlar.","Anayasa maddeleri, cumhuriyetin temel Principles, hak ve özgürlüklerin korunması, demokrasinin kuruluşu, seçime dayanan demokrasinin kuruluşu, cumhuriyetin temel unsurlarının belirlenmesi, cumhuriyetin kurulması ve işleyişinin denetimi, cumhuriyetin hukuki ve ekonomik sisteminin belirlenmesi gibi konularda detail bilgi vermektedir.

Bu maddeler, cumhuriyetin temel principles'ini, hak ve özgürlüklerin korunmasını, demokrasinin kuruluşunu, seçime dayanan demokrasinin kuruluşunu, cumhuriyetin temel unsurlarının belirlenmesini, cumhuriyetin kurulması ve işleyişini denetlemelerini ve cumhuriyetin hukuki ve ekonomik sistemini belirlenmesini içerir.",0.17177914110429449,0.0,0.11042944785276074,0,0.10526315789473685,67,45,0
2,Llama-3.2-1B-Instruct,"Anayasa madde 1, cumhuriyetin ilan edilmesini neden önemli görmüştür","Anayasa madde 1, cumhuriyetin ilan edilmesini, halkın egemenliğinin vurgulanması ve demokrasiye geçişin sağlanması açısından önemli görmüştür. cumhuriyetin ilanı, osmanlı i̇mparatorluğu'nun monarşik yönetim biçiminden demokratik bir yönetime geçişi simgeler. bu değişiklik, halkın kendi kaderini belirleme hakkını ve devletin halkın iradesi doğrultusunda yönetilmesi gerektiğini vurgular.","Anayasa maddesi 1, cumhuriyetin ilan edilmesini önemli görmekle birlikte, bu maddede bir daha da detalles verilmiştir.",0.20454545454545453,0.0930232558139535,0.1818181818181818,0,0.26229508196721313,16,43,0
3,Llama-3.2-1B-Instruct,"Anayasa madde 1, cumhuriyetin hangi tarihte ilan edildiğini belirtir mi","Anayasa madde 1, türkiye cumhuriyeti'nin 29 ekim 1923 tarihinde ilan edildiğini belirtir. bu tarih, türkiye'nin modernleşme sürecinde önemli bir dönüm noktasıdır ve her yıl cumhuriyet bayramı olarak kutlanır. 29 ekim 1923, mustafa kemal atatürk'ün önderliğinde türkiye'nin bağımsızlık mücadelesinin zaferle sonuçlanmasının ve yeni bir devlet düzeninin kurulmasının simgesidir.","Anayasa 1, cumhuriyetin 1923 yılında ilan edildiğini belirtir.",0.20930232558139536,0.09523809523809523,0.1627906976744186,0,0.20338983050847456,8,47,0
4,Llama-3.2-1B-Instruct,"Anayasa madde 1'e göre, cumhuriyetin temel özellikleri nelerdir","Anayasa madde 1'e göre, cumhuriyetin temel özellikleri halk egemenliği, demokrasi, hukuk devleti ve laikliktir. halk egemenliği, yönetim yetkisinin doğrudan veya dolaylı olarak halka ait olduğunu ifade eder. demokrasi, halkın yönetime katılımını ve yönetim yetkisinin seçimle belirlenmesini sağlar. hukuk devleti, tüm devlet faaliyetlerinin hukuk kurallarına uygun olarak yürütülmesini ve yargı denetimine açık olmasını ifade eder. laiklik, din ve devlet işlerinin birbirinden ayrılmasını ve devletin tüm inançlara eşit mesafede durmasını sağlar.","Anayasa maddesi 1, cumhuriyetin temel özelliklerini definesi eder. Bu maddede, cumhuriyetin temel özelliklerini şöyle tanımlar:

- Cumhuriyet, bir halk cumhuriyetidir.
- Cumhuriyet, bir halkın elected kuruluşudur.
- Cumhuriyet, bir devletin kuruluşu ve kuruluşunun, kamu ve özel alanlarda gerçekleştirilen faaliyetlerin, sosyal ve ekonomik sistemlerinin, ekonomi, sınıflar, eğitim, sağlık, eğitim, kamu kuruluşları, kamu kurumları, kamu kurumlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kurumlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kuruluşlarının, kamu kurulu",0.0954356846473029,0.008333333333333333,0.05809128630705395,0,0.08835341365461848,182,69,0
5,Llama-3.2-1B-Instruct,Anayasa madde 1'de cumhuriyetin tercih edilme nedeni nedir,"Anayasa madde 1'de cumhuriyetin tercih edilme nedeni, halkın iradesinin en üst düzeyde temsil edilmesi ve yönetimde halkın söz sahibi olmasıdır. cumhuriyet rejimi, monarşi ve oligarşi gibi yönetim biçimlerine alternatif olarak halkın katılımını ve temsilini esas alır. bu nedenle, cumhuriyet yönetimi, demokrasinin uygulanmasını ve halkın yönetime doğrudan veya temsilcileri aracılığıyla katılmasını sağlar.","Anayasa Madde 1: ""Cumhuriyetin temeli, Türk milletinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, milletvekinin, millet",0.043243243243243246,0.021857923497267756,0.043243243243243246,0,0.05063291139240506,106,51,0
6,Llama-3.2-1B-Instruct,"Anayasa madde 1, cumhuriyetin devamlılığını nasıl güvence altına alır","Anayasa madde 1, cumhuriyetin devamlılığını anayasal güvence altına alarak ve değiştirilemez kılarak sağlar. anayasanın bu hükmü, cumhuriyet yönetim biçiminin değiştirilemeyeceğini ve bu konuda herhangi bir teklifin dahi yapılamayacağını belirtir. bu hüküm, cumhuriyetin temel ilkelerinin korunmasını ve türkiye'nin demokratik yapısının sürekliliğini temin eder.","Anayasa, cumhuriyetin devamlılığını ve demokrasinin korunmasını sağlamak için çeşitli önlemleriForence membuatır.",0.2298850574712644,0.11764705882352941,0.18390804597701152,0,0.18518518518518515,11,42,0
7,Llama-3.2-1B-Instruct,"Anayasa madde 1, devletin şekliyle ilgili başka hangi detayları içerir","Anayasa madde 1, devletin şekli olarak sadece cumhuriyetin kabul edildiğini ve bu şeklin değiştirilemeyeceğini içerir. bu madde, cumhuriyetin türkiye'nin devlet yapısının temel bir unsuru olduğunu ve bu yönetim biçiminin anayasal koruma altında olduğunu vurgular. ayrıca, bu hüküm, cumhuriyetin sürekli olarak korunması ve yaşatılması gerektiğini ifade eder.","Anayasa maddesi 1, ""Devletin şekli, kurallarını, kuruluşu, görevleri, kuruluşun kuruluşu, görevlendireceği görevler, görevlendirdiği görevlendirmeler, görevlendirdiği kamu hizmetleri, kamu kuruluşlarının kuruluşu, kuruluşu, görevleri, görevlendireceği görevleri, görevlendirdiği görevlendirmeleri, kamu hizmetlerinin işleyişini düzenlemek için necessário olan diğer essential kurallar ve kuruluşları, kuruluşun kuruluşu, görevlendireceği görevler, görevlendirdiği görevlendirmeler, görevlendirdiği kamu hizmetleri, kamu kuruluşlarının kuruluşu, kuruluşu, görevleri, görevlendireceği görevleri, görevlendirdiği görevlendirmeleri, kamu hizmetlerinin işleyişini düzenlemek için necessário olan diğer essential kurallar ve kuruluşları"" gibi detailler içerir.",0.12935323383084577,0.04020100502512563,0.10945273631840796,0,0.11864406779661017,71,46,0
8,Llama-3.2-1B-Instruct,Anayasa madde 1'de cumhuriyetin ilanıyla ilgili hangi tarihi olaylar belirtilmiştir,"Anayasa madde 1'de cumhuriyetin ilanıyla ilgili olarak 29 ekim 1923 tarihinde türkiye büyük millet meclisi tarafından ilan edilmesi belirtilmiştir. bu tarih, türkiye cumhuriyeti'nin resmen kurulduğu ve osmanlı i̇mparatorluğu'nun sona erdiği tarihtir. cumhuriyetin ilanı, kurtuluş savaşı'nın zaferle sonuçlanmasının ardından, türkiye'nin yeni bir devlet düzeni ve modern bir yönetim biçimi benimsemesinin bir sonucu olarak gerçekleşmiştir.","Anayasa madde 1, cumhuriyetin ilanı ile ilgili olarak bazı önemli olaylar belirtilmiştir:

- 1923 yılında Türk Anayasa Meclisi tarafından kabul edilen Anayasa, 29 October 1924 tarihinde kabul edildi.
- 23 November 1924 tarihinde, Anayasa 1. maddesi, cumhuriyetin ilanı olarak kabul edildi.
- 1925 yılında, 1. Anayasa Mahkemesi, Anayasa 1. maddesinde cumhuriyetin ilanı kabul edildi.
- 1947 yılında, cumhuriyetin ilanı, 2. Anayasa ile de kabul edildi.
- 1960 yılında, 2. Anayasa, cumhuriyetin ilanı kabul edildi.
- 1982 yılında, cumhuriyetin ilanı, 3. Anayasa ile de kabul edildi.
- 1987 yılında, 3. Anayasa, cumhuriyetin ilanı kabul edildi.
- 2017 yılında, cumhuriyetin ilanı, 4. Anayasa ile de kabul edildi.
- 2023 yılında, cumhuriyetin ilanı, 5. Anayasa ile de kabul edildi.",0.22222222222222224,0.07804878048780488,0.15458937198067632,0,0.19277108433734938,116,53,0
9,Llama-3.2-1B-Instruct,"Anayasa madde 1, devletin şekliyle ilgili hangi kuralları ortaya koyar","Anayasa madde 1, devletin şeklinin cumhuriyet olduğunu, bu şeklin değiştirilemeyeceğini ve değiştirilmesinin teklif dahi edilemeyeceğini ortaya koyar. bu madde, türkiye'nin yönetim biçimi olarak cumhuriyetin mutlak ve değişmez olduğunu vurgular. ayrıca, bu hüküm, cumhuriyetin korunması ve devamlılığının sağlanması için anayasal bir güvence sağlar.","Anayasa, Türk hukuku frameworku oluşturur. Anayasa, Türk hukuku temel kurallarını, hak ve özgürlüklerin korunmasını, kamu hukuku ile hukukun temel principlerini, kamuoyu, milletvekahsarı ve kamuoyu için temel kurallarını, milletvekahsarı ve kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu için temel kurallarını, kamuoyu",0.07162534435261708,0.00554016620498615,0.049586776859504134,0,0.04081632653061224,202,42,0
